timestamp,ax,ay,az,gx,gy,gz
0.0,1.06,-0.48,0.24,38.27,-57.92,11.84
0.1,0.56,-0.31,0.67,15.87,40.34,-112.12
0.2,1.4,0.4,0.09,73.49,232.73,73.3
0.30000000000000004,0.92,-0.91,0.67,117.31,55.6,121.09
0.4,0.63,-0.56,0.59,4.03,4.15,44.8
0.5,0.26,-1.1,0.65,-82.64,29.36,9.89
0.6000000000000001,0.47,-0.36,-1.05,101.44,-138.79,-123.11
0.7000000000000001,1.28,-0.14,-0.38,4.33,234.62,-34.0
0.8,1.03,-0.54,1.24,73.73,16.3,-165.65
0.9,0.62,-0.23,0.98,-77.76,4.94,31.8
1.0,1.55,0.75,1.78,-129.94,-172.3,-287.6
1.1,0.47,-0.01,-0.35,-74.22,38.88,16.48
1.2000000000000002,2.27,-1.37,0.37,90.03,30.03,101.99
1.3,0.37,-0.7,0.89,-15.26,13.92,55.24
1.4000000000000001,-1.2,-0.25,1.16,-87.1,-6.1,-41.14
1.5,0.71,-0.31,0.79,-25.82,-20.08,-18.31
1.6,1.05,0.11,-0.69,-101.68,203.43,196.96
1.7000000000000002,0.22,-0.27,-0.91,-10.25,-19.65,85.75
1.8,0.2,-0.28,-0.83,17.52,40.22,-97.53
1.9000000000000001,0.42,-0.29,-0.89,31.74,6.59,11.41
2.0,0.44,-0.05,-0.71,5.19,-51.76,-39.86
2.1,0.56,0.46,-0.56,45.65,-1.59,2.87
2.2,0.8,0.64,-0.25,-23.07,-40.77,80.08
